ranking,title,rate
1,위대한 쇼맨,9.40
2,에이리언 2,9.34
3,패왕별희 디 오리지널,9.30
4,인생,9.26
5,우리들,9.25
6,톰보이,9.24
7,러빙 빈센트,9.22
8,어느 가족,9.20
9,시간을 달리는 소녀,9.20
10,오아시스,9.20
11,스타 이즈 본,9.18
12,에이리언,9.12
13,러브레터,9.11
14,늑대아이,9.11
15,싸이코,9.10
16,박하사탕,9.05
17,타오르는 여인의 초상,9.04
18,비긴 어게인,9.02
19,미져리,9.01
20,윤희에게,8.95
21,배트맨 비긴즈,8.94
22,기쿠지로의 여름,8.94
23,시,8.93
24,마담 프루스트의 비밀정원,8.92
25,트롤: 월드 투어,8.89
26,드라큐라,8.86
27,슬럼독 밀리어네어,8.83
28,콜 오브 와일드,8.81
29,벌새,8.77
30,온워드: 단 하루의 기적,8.76
31,도그빌,8.75
32,현기증,8.73
33,바닷마을 다이어리,8.72
34,썸머 워즈,8.67
35,플로리다 프로젝트,8.63
36,걸어도 걸어도,8.62
37,라라랜드,8.60
38,플라이,8.60
39,태풍이 지나가고,8.60
40,찬실이는 복도 많지,8.58
41,족구왕,8.54
42,괴물의 아이,8.50
43,캐리,8.46
44,아비정전,8.46
45,로렌스 애니웨이 ,8.42
46,에어로너츠,8.39
47,영웅: 천하의 시작,8.38
48,그랜드 부다페스트 호텔,8.37
49,스크림,8.36
50,카페 벨에포크,8.29
