rank,title,artist
1,Downtown Baby,블루(BLOO)
2,에잇(Prod.&Feat. SUGA of BTS),아이유(IU)
3,아로하,조정석
4,살짝 설ㅤㄹㅔㅆ어 (Nonstop),오마이걸(OH MY GIRL)
5,사랑하게 될 줄 알았어,전미도
6,MORE & MORE,TWICE(트와이스)
7,Dolphin,오마이걸(OH MY GIRL)
8,좋은 사람 있으면 소개시켜줘,조이 (JOY)
9,아무노래,지코 (ZICO)
10,화려하지 않은 고백,규현(KYUHYUN)
11,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
12,Blueming,아이유(IU)
13,Memories,Maroon 5
14,나비와 고양이 (Feat. 백현 (BAEKHYUN)),볼빨간사춘기
15,그대 고운 내사랑,어반자카파
16,덤더럼(Dumhdurum),에이핑크(Apink)
17,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션)
18,Don't Start Now,Dua Lipa
19,Into the I-LAND,아이유(IU)
20,Psycho,Red Velvet (레드벨벳)
21,WANNABE,ITZY(있지)
22,깡 Official Remix,식케이 (Sik-..
23,METEOR,창모(CHANGMO)
24,시작,가호 (Gaho)
25,"너에게 난, 나에게 넌",미도와 파라솔
26,Lonely Night,권진아
27,처음처럼,엠씨더맥스(M.C the MAX)
28,내 눈물 모아,휘인(Whee In)
29,2002,Anne-Marie
30,Love poem,아이유(IU)
31,늦은 밤 너의 집 앞 골목길에서,노을
32,Dance Monkey,Tones And I
33,환상동화 (Secret Story of the Swan),IZ*ONE(아이즈원)
34,Paris In The Rain,Lauv
35,FIESTA,IZ*ONE(아이즈원)
36,Rain On Me,Lady Gaga
37,시청 앞 지하철 역에서,곽진언
38,Happy,태연 (TAEYEON)
39,어떻게 지내 (Prod. By VAN.C),오반
40,LALALILALA,에이프릴(APRIL)
41,Juice,Lizzo
42,너를 만나,폴킴
43,밤이 깊었네 (Drama Ver.),미도와 파라솔
44,Stuck with U,Ariana Gr..
45,작사가,헤이즈 (Heize)
46,돌덩이,하현우 (국카스텐)
47,언제라도 어디에서라도,정승환
48,ON,방탄소년단
49,밤편지,아이유(IU)
50,넌 언제나,제이레빗(J Rabbit)
